car_id,charge_type,start_soc,end_soc,soc_quan,start_time,end_time,duration,duration_hour,lines,b_modul_1_temp_avg,b_modul_2_temp_avg,b_modul_3_temp_avg,b_modul_4_temp_avg,b_pack_current_avg,b_pack_volt_avg,source_path,car_type,fast_pack_current_ref,fast_modul_temp_ref,slow_pack_current_ref,slow_modul_temp_ref,fast_slope_1,fast_slope_2,fast_slope_3,slow_slope_1,slow_slope_2,slow_slope_3
M2211121953,slow,71.0,97.0,26.0,2023-10-24 02:54:11,2023-10-24 07:11:41,15450.0,4.291666666666667,1503,19.04723885562209,20.65602129075183,18.431137724550897,19.045908183632733,-6.917365269461078,776.503393213573,GV60/M2211121953.csv#segment_119,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,,,,6.058252427184466,5.108048932278072,5.536223793678934
M2211121953,slow,62.0,78.5,16.5,2023-10-29 06:00:48,2023-10-29 08:32:56,9128.0,2.5355555555555553,907,16.42888643880926,17.85887541345094,16.22271223814774,17.0,-7.799007717750828,749.4882028665933,GV60/M2211121953.csv#segment_126,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,,,,6.507449605609115,4.866535059552776,5.3921118083155015
M2211122774,fast,39.5,85.5,46.0,2024-07-06 11:17:03,2024-07-06 11:49:06,1923.0,0.5341666666666667,157,31.611464968152863,32.802547770700635,31.095541401273884,31.777070063694268,-101.76369426751592,762.995541401274,GV60/M2211122774.csv#segment_24,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,86.1154446177847,62.895395208577334,62.59603380934482,,,
M2211122774,slow,41.5,60.0,18.5,2024-08-24 23:34:55,2024-08-25 02:12:10,9435.0,2.620833333333333,908,31.3931718061674,33.02312775330397,30.524229074889867,30.79955947136564,-8.137004405286342,717.9840308370044,GV60/M2211122774.csv#segment_28,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,,,,7.058823529411765,5.059599797994134,4.869480821693981
M2211122774,slow,32.5,73.5,41.0,2024-09-19 00:44:54,2024-09-19 06:36:56,21122.0,5.867222222222222,2108,31.120967741935484,33.15607210626186,30.17789373814042,30.949240986717268,-8.157542694497153,722.9642789373814,GV60/M2211122774.csv#segment_39,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,,,,6.987974623615188,4.996206232036584,4.812665058746862
M2211122911,slow,73.0,97.0,24.0,2024-05-18 00:18:02,2024-05-18 06:12:43,21281.0,5.911388888888889,2006,27.926221335992025,30.663010967098703,26.878364905284148,27.84047856430708,-4.224675972083748,783.8087238285145,GV60/M2211122911.csv#segment_40,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,,,,4.059959588365208,5.605013966608128,5.568604573233845
M2211122911,fast,55.0,78.5,23.5,2024-05-20 16:22:09,2024-05-20 17:22:38,3629.0,1.0080555555555557,311,27.125401929260452,27.118971061093248,26.964630225080384,25.829581993569132,-28.624437299035367,760.1344051446947,GV60/M2211122911.csv#segment_43,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,23.312207219619726,60.53089613426211,63.30686883639718,,,
M2211122911,slow,35.5,72.5,37.0,2024-05-21 01:43:52,2024-05-21 07:55:02,22270.0,6.186111111111111,2111,24.73993368072004,27.020369493131216,23.816200852676456,24.952629085741354,-7.080767408810989,722.2331122690669,GV60/M2211122911.csv#segment_44,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,,,,5.981140547822182,4.926654105270811,5.052044819272201
M2211122911,slow,58.5,80.5,22.0,2024-06-05 03:10:35,2024-06-05 06:50:31,13196.0,3.665555555555556,1276,31.0,34.0,30.0,31.19984326018809,-6.802037617554858,752.3242163009404,GV60/M2211122911.csv#segment_66,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,,,,6.001818732949378,5.1462660957433854,4.946975500077137
M2211122911,fast,29.5,87.5,58.0,2024-06-26 12:20:49,2024-06-26 13:45:31,5082.0,1.4116666666666666,474,31.959915611814345,33.45147679324894,31.723628691983123,32.21518987341772,-45.184810126582285,732.1018987341772,GV60/M2211122911.csv#segment_88,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,41.086186540731994,67.58246663572913,66.91214060824173,,,
